City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
shimoda,75,JP,1571024973,93,34.7,138.93,71.6,26.4
ancud,0,CL,1571024973,65,-41.87,-73.83,44.6,10.29
avarua,0,CK,1571024973,64,-21.21,-159.78,73.4,9.17
mataura,100,NZ,1571024974,67,-46.19,168.86,60.76,5.09
codrington,75,AU,1571024974,44,-28.95,153.24,80.6,8.05
new norfolk,91,AU,1571024974,31,-42.78,147.06,73.4,8.05
nouadhibou,88,MR,1571024975,73,20.93,-17.03,73.4,17.22
dikson,100,RU,1571024975,99,73.51,80.55,30.87,4.53
kyshtovka,100,RU,1571024975,76,56.56,76.62,48.63,12.29
bluff,13,AU,1571024976,38,-23.58,149.07,84.38,7.21
ushuaia,40,AR,1571024976,64,-54.81,-68.31,37.4,6.93
corner brook,90,CA,1571024976,93,48.95,-57.95,46.4,12.75
olinda,33,AU,1571024976,31,-37.84,145.39,77.0,17.22
taolanaro, ,,,,,,,
cape town,20,ZA,1571024977,87,-33.93,18.42,62.01,10.29
cheuskiny, ,,,,,,,
rikitea,100,PF,1571024978,83,-23.12,-134.97,71.01,11.44
isangel,20,VU,1571024978,69,-19.55,169.27,80.6,16.11
georgetown,75,GY,1571024978,100,6.8,-58.16,75.2,2.24
carnarvon,0,ZA,1571024979,40,-30.97,22.13,56.01,10.68
dodoma,20,TZ,1571024979,93,-6.18,35.75,64.4,8.05
porto walter,93,BR,1571024979,88,-8.27,-72.74,70.29,1.76
yellowknife,90,CA,1571024980,70,62.45,-114.38,32.0,8.05
boende,92,CD,1571024980,83,-0.28,20.88,70.05,0.59
illoqqortoormiut, ,,,,,,,
naron,100,ES,1571024980,93,43.52,-8.15,57.0,13.87
punta arenas,75,CL,1571024981,75,-53.16,-70.91,41.0,14.99
hithadhoo,100,MV,1571024981,73,-0.6,73.08,82.9,5.01
busselton,51,AU,1571024981,73,-33.64,115.35,55.99,7
nizhneyansk, ,,,,,,,
narsaq,94,GL,1571024982,55,60.91,-46.05,33.8,6.93
puerto ayora,0,EC,1571024982,90,-0.74,-90.35,68.0,1.99
qinhuangdao,0,CN,1571024983,13,39.94,119.59,53.02,10.82
chapada dos guimaraes,40,BR,1571024983,65,-15.46,-55.75,78.8,3.36
port alfred,0,ZA,1571024983,82,-33.59,26.89,62.01,4
qaanaaq,100,GL,1571024984,53,77.48,-69.36,11.71,13.68
barrow,95,AR,1571024984,78,-38.31,-60.23,38.97,7.76
cidreira,100,BR,1571024984,96,-30.17,-50.22,67.87,13.62
bilma,0,NE,1571024984,27,18.69,12.92,78.53,13.63
pisco,90,PE,1571024985,82,-13.71,-76.2,62.6,11.41
ribeira grande,100,PT,1571024985,78,38.52,-28.7,61.52,11.59
mahebourg,75,MU,1571024985,83,-20.41,57.7,73.0,3.36
maurawan,0,IN,1571024986,74,26.43,80.88,82.4,2.02
airai,14,TL,1571024986,13,-8.93,125.41,87.78,9.3
clyde river,90,CA,1571024987,69,70.47,-68.59,32.0,20.8
synya,97,RU,1571024987,95,65.37,58.04,34.47,3.03
te horo,100,NZ,1571024987,62,-40.81,175.12,61.0,9.17
thompson,90,CA,1571024987,100,55.74,-97.86,33.8,5.82
naze,75,NG,1571024988,100,5.43,7.07,73.4,3.83
bintulu,75,MY,1571024988,74,3.17,113.03,84.2,5.82
mar del plata,0,AR,1571024988,67,-46.43,-67.52,44.55,5.43
mataram,21,ID,1571024989,42,-5.32,105.06,91.71,0.62
boyolangu,37,ID,1571024989,44,-8.09,111.9,90.1,9.96
belaya gora,100,RU,1571024989,93,68.54,146.19,17.44,17.67
esperance,75,AU,1571024990,68,-33.86,121.89,66.2,9.17
faya,79,SA,1571024990,44,18.39,42.45,60.8,5.82
bethel,1,US,1571024990,64,60.79,-161.76,35.6,9.17
egvekinot,100,RU,1571024991,98,66.32,-179.17,28.54,9.21
isiro,100,CD,1571024991,99,2.77,27.62,65.34,1.24
bredasdorp,8,ZA,1571024991,87,-34.53,20.04,53.6,4.7
tasiilaq,99,GL,1571024991,64,65.61,-37.64,37.4,23.04
mengcheng,90,CN,1571024992,63,33.26,116.57,63.25,16.12
havoysund,75,NO,1571024992,69,71.0,24.66,37.4,5.82
albany,40,US,1571024992,81,42.65,-73.75,52.0,5.82
arraial do cabo,0,BR,1571024993,87,-22.97,-42.02,72.72,29.59
montijo,35,ES,1571024993,74,38.91,-6.62,63.0,13
port lincoln,21,AU,1571024993,63,-34.72,135.86,62.8,9.33
harnosand,92,SE,1571024994,92,62.63,17.94,33.01,6.93
mehamn,75,NO,1571024994,80,71.03,27.85,37.4,8.05
ketchikan,1,US,1571024995,93,55.34,-131.65,42.8,5.82
kupino,100,RU,1571024995,62,54.36,77.31,51.76,13.8
pullman,75,US,1571024995,60,46.73,-117.17,48.0,4.35
klaksvik,42,FO,1571024995,79,62.23,-6.59,35.6,1.12
tiksi,100,RU,1571024996,90,71.64,128.87,18.0,5.15
mocajuba,100,BR,1571024996,84,-2.58,-49.5,76.93,3.58
mantua,98,IT,1571024996,93,45.16,10.79,57.99,2.24
ambilobe,67,MG,1571024997,81,-13.19,49.05,71.83,5.53
zhoucheng,40,CN,1571024997,64,31.35,119.33,71.6,11.18
krasnoselkup, ,,,,,,,
maragogi,49,BR,1571024998,79,-9.01,-35.22,78.1,18.01
hermanus,0,ZA,1571024998,95,-34.42,19.24,62.01,3.57
fortuna,90,US,1571024998,93,40.6,-124.16,52.0,5.82
provideniya,90,RU,1571024998,80,64.42,-173.23,35.6,11.18
buala,92,SB,1571024999,70,-8.15,159.59,84.13,4.05
barentsburg, ,,,,,,,
pacific grove,75,US,1571024999,87,36.62,-121.92,57.99,6.93
iqaluit,5,CA,1571025000,85,63.75,-68.52,21.2,5.78
kutum,66,SD,1571025000,79,14.2,24.66,68.67,14.05
srednekolymsk,100,RU,1571025000,96,67.46,153.71,28.17,15.72
langarud,0,IR,1571025001,93,37.2,50.15,57.2,1.72
asau, ,,,,,,,
lorengau,100,PG,1571025001,67,-2.02,147.27,84.15,7.89
tautira,20,PF,1571025002,65,-17.73,-149.15,78.8,8.05
kapaa,90,US,1571025002,66,22.08,-159.32,84.2,3.36
marathon,100,CA,1571025003,73,48.72,-86.38,42.46,12.67
kruisfontein,0,ZA,1571025003,91,-34.0,24.73,53.98,7.56
leningradskiy,97,RU,1571025003,57,69.38,178.42,29.91,5.24
haines junction,0,CA,1571025004,70,60.75,-137.51,24.64,2.62
punta alta,39,AR,1571025004,74,-27.46,-55.82,78.8,9.17
hobart,32,AU,1571025004,31,-42.88,147.33,73.4,8.05
cascais,20,PT,1571025005,87,38.7,-9.42,59.0,6.93
grand river south east, ,,,,,,,
chokurdakh,100,RU,1571025005,93,70.62,147.9,14.23,10.22
chumikan,66,RU,1571025005,39,54.72,135.31,30.87,17.22
lompoc,1,US,1571025006,100,34.64,-120.46,59.0,3.36
ilulissat,0,GL,1571025006,52,69.22,-51.1,19.4,8.05
kaitangata,99,NZ,1571025006,86,-46.28,169.85,48.88,25.55
mount isa,0,AU,1571025007,7,-20.73,139.49,104.0,10.29
butaritari,66,KI,1571025007,63,3.07,172.79,85.48,5.5
paamiut,0,GL,1571025007,52,61.99,-49.67,29.35,14.36
saskylakh,78,RU,1571025008,94,71.97,114.09,19.08,3.27
miri,92,NG,1571025008,80,10.31,9.75,73.18,5.72
viedma,48,AR,1571025008,58,-40.81,-62.99,45.9,14.43
hilo,90,US,1571025009,69,19.71,-155.08,82.4,10.29
taunggyi,84,MM,1571025009,76,20.78,97.03,76.69,1.64
atuona,88,PF,1571025009,72,-9.8,-139.03,79.3,11.79
gravdal,100,NO,1571025010,93,59.79,5.78,46.0,3.36
lebu,98,ET,1571025010,86,8.96,38.73,49.55,2.64
hofn,58,IS,1571025010,66,64.25,-15.21,43.9,4.73
port blair,93,IN,1571025011,75,11.67,92.75,83.71,10.73
berlevag,75,NO,1571025011,80,70.86,29.09,30.2,8.05
norman wells,90,CA,1571025011,86,65.28,-126.83,28.4,2.24
manokwari,100,ID,1571025012,73,-0.87,134.08,80.29,4.8
abha,100,SA,1571025012,44,18.22,42.5,60.8,5.82
henties bay,85,NA,1571025012,87,-22.12,14.28,63.0,5.99
cinisi,100,IT,1571025013,77,38.16,13.11,69.01,3.36
brae,38,GB,1571025013,76,60.4,-1.35,48.2,2.45
ijaki, ,,,,,,,
uralskiy, ,,,,,,,
jamestown,29,AU,1571025014,39,-33.21,138.6,69.44,9.35
santa marta,75,CO,1571025014,78,11.24,-74.21,80.6,10.29
chahuites,37,MX,1571025014,87,16.29,-94.19,69.8,8.44
ambon,100,FR,1571025015,100,47.55,-2.56,57.99,9.17
salimpur,22,IN,1571025015,37,28.13,76.28,81.9,4.82
vaini,40,IN,1571025015,83,15.34,74.49,77.0,3.36
port elizabeth,73,US,1571025016,93,39.31,-74.98,66.0,4.7
inhambane,75,MZ,1571025016,94,-23.87,35.38,68.0,12.04
bosaso,59,SO,1571025016,81,11.28,49.18,81.7,15.15
mpongwe,16,ZM,1571025017,57,-13.51,28.16,67.06,6.25
kahului,20,US,1571024677,54,20.89,-156.47,84.2,19.46
pangnirtung,14,CA,1571025017,55,66.15,-65.72,22.75,2.31
san patricio,42,PY,1571025018,83,-26.98,-56.83,75.51,9.42
longhua,100,CN,1571025018,88,29.21,106.21,66.99,0.55
sola,4,TZ,1571025018,68,-3.17,33.8,67.75,6.47
san cristobal,99,HN,1571025018,95,14.68,-86.92,66.76,3.13
mitsamiouli,20,KM,1571025019,73,-11.38,43.28,77.0,5.82
nikolskoye,40,RU,1571025019,86,59.7,30.79,41.0,2.24
